URL,Winner,Loser,Score
/69877/cloud9-vs-100-thieves-champions-tour-north-america-stage-1-challengers-w1,C9,100T,['2' '0']
/69880/the-guard-vs-luminosity-champions-tour-north-america-stage-1-challengers-w1,TGRD,LG,['2' '0']
/69882/xset-vs-evil-geniuses-champions-tour-north-america-stage-1-challengers-w1,XSET,EG,['2' '0']
/70058/evil-geniuses-vs-luminosity-champions-tour-north-america-stage-1-challengers-w2,LG,EG,['2' '1']
/70059/xset-vs-cloud9-champions-tour-north-america-stage-1-challengers-w2,C9,XSET,['2' '1']
/70063/100-thieves-vs-the-guard-champions-tour-north-america-stage-1-challengers-w2,TGRD,100T,['2' '1']
/70064/cloud9-vs-evil-geniuses-champions-tour-north-america-stage-1-challengers-w3,C9,EG,['2' '1']
/70067/the-guard-vs-xset-champions-tour-north-america-stage-1-challengers-w3,TGRD,XSET,['2' '1']
/70068/luminosity-vs-100-thieves-champions-tour-north-america-stage-1-challengers-w3,LG,100T,['2' '1']
/70071/evil-geniuses-vs-the-guard-champions-tour-north-america-stage-1-challengers-w4,TGRD,EG,['2' '0']
/70072/luminosity-vs-cloud9-champions-tour-north-america-stage-1-challengers-w4,C9,LG,['2' '0']
/70074/100-thieves-vs-xset-champions-tour-north-america-stage-1-challengers-w4,XSET,100T,['2' '1']
/70076/cloud9-vs-the-guard-champions-tour-north-america-stage-1-challengers-w5,C9,TGRD,['2' '1']
/70079/100-thieves-vs-evil-geniuses-champions-tour-north-america-stage-1-challengers-w5,100T,EG,['2' '0']
/70081/xset-vs-luminosity-champions-tour-north-america-stage-1-challengers-w5,XSET,LG,['2' '0']
/69878/version1-vs-knights-champions-tour-north-america-stage-1-challengers-w1,V1,PK,['2' '0']
/69879/sentinels-vs-nrg-esports-champions-tour-north-america-stage-1-challengers-w1,SEN,NRG,['2' '1']
/69881/optic-gaming-vs-rise-champions-tour-north-america-stage-1-challengers-w1,Rise,OPTC,['2' '1']
/70057/knights-vs-sentinels-champions-tour-north-america-stage-1-challengers-w2,SEN,PK,['2' '1']
/70060/rise-vs-version1-champions-tour-north-america-stage-1-challengers-w2,V1,Rise,['2' '0']
/70061/nrg-esports-vs-optic-gaming-champions-tour-north-america-stage-1-challengers-w2,OPTC,NRG,['2' '0']
/70065/knights-vs-rise-champions-tour-north-america-stage-1-challengers-w3,PK,Rise,['2' '0']
/70066/sentinels-vs-optic-gaming-champions-tour-north-america-stage-1-challengers-w3,OPTC,SEN,['2' '1']
/70069/version1-vs-nrg-esports-champions-tour-north-america-stage-1-challengers-w3,V1,NRG,['2' '1']
/70070/rise-vs-sentinels-champions-tour-north-america-stage-1-challengers-w4,SEN,Rise,['2' '1']
/70073/nrg-esports-vs-knights-champions-tour-north-america-stage-1-challengers-w4,PK,NRG,['2' '1']
/70075/optic-gaming-vs-version1-champions-tour-north-america-stage-1-challengers-w4,V1,OPTC,['2' '1']
/70077/nrg-esports-vs-rise-champions-tour-north-america-stage-1-challengers-w5,NRG,Rise,['2' '0']
/70078/sentinels-vs-version1-champions-tour-north-america-stage-1-challengers-w5,V1,SEN,['2' '0']
/70080/optic-gaming-vs-knights-champions-tour-north-america-stage-1-challengers-w5,OPTC,PK,['2' '0']
